[2025-02-03 10:04:35] | info: User created successfully |
[2025-02-03 10:05:17] | info: Get user list |
[2025-02-03 10:05:43] | info: User updated successfully |
[2025-02-03 10:06:40] | info: Get user by id |
[2025-02-03 10:07:06] | info: User deleted successfully |
[2025-02-03 10:07:12] | info: User created successfully |
[2025-02-03 10:07:15] | info: Get user list |
[2025-02-03 13:43:44] | info: Get user list |
[2025-02-03 13:43:55] | info: User deleted successfully |
[2025-02-03 13:46:07] | info: User created successfully |
[2025-02-03 13:46:14] | info: Get user list |
[2025-02-03 16:45:17] | info: Get user list |
[2025-02-03 19:00:38] | info: Get user list |
[2025-02-03 19:02:03] | info: Get user with roles names |
[2025-02-03 19:04:15] | info: Get user with roles names |
[2025-02-03 20:28:09] | info: Get user list |
[2025-02-03 20:41:13] | info: User created successfully |
[2025-02-03 20:41:53] | info: Get user list |
